title,url,category,final_score,impact,scale,potential,legacy,novelty,credibility,positivity
Pakistan's Largest Natural Lake Is Rising To Dangerous Levels Due To Monsoon,https://www.huffpost.com/entry/pakistan-floods-lake-swelling_n_6314c328e4b046aa022b3d8c,WORLD NEWS,4.5,6,4,5,3,4,7,2
Putin Plans To Snub Gorbachev's Funeral,https://www.huffpost.com/entry/putin-snubs-gorbachev-funeral_n_6312499ce4b09e34c39504ef,WORLD NEWS,3.2,2,2,3,6,3,7,2
"Pakistan Flooding Deaths Pass 1,000 In 'Climate Catastrophe'",https://www.huffpost.com/entry/pakistan-flooding-passes-1000-climate-catastrophe_n_630b7ef0e4b063d5e61c54de,WORLD NEWS,6.0,6,6,7,6,6,7,2
"6 Missing College Students In Mexico Were Held In Warehouse, Killed By Army",https://www.huffpost.com/entry/bc-lt-mexico-missing-students_n_630a2a08e4b0dc23bbe911fc,WORLD NEWS,4.4,4,4,3,5,6,8,2
"6 Months Into War, Russian Goods Still Flowing To U.S.",https://www.huffpost.com/entry/us-still-trading-with-russia_n_63073ff9e4b0f7df9bb6ef30,WORLD NEWS,5.0,6,5,5,5,4,7,3
Japan’s National Police Chief To Resign Over Shinzo Abe Assassination,https://www.huffpost.com/entry/japan-police-chief-resign-shinzo-abe_n_6307171ae4b0f72c09ddc7d7,WORLD NEWS,4.1,4,4,3,5,4,8,2
UK Broadcaster To Air Satirical Musical On Prince Andrew,https://www.huffpost.com/entry/prince-andrew-satirical-musical_n_63037be8e4b035629bfcbe26,WORLD NEWS,2.3,2,2,1,1,3,7,5
"Ukraine: 9,000 Of Its Troops Killed Since Russia Began War",https://www.huffpost.com/entry/russia-ukraine-war-deaths_n_6303a700e4b0e323a2578a86,WORLD NEWS,5.0,6,5,5,5,4,8,1
Police File Terrorism Charges Against Pakistan's Ex-Premier Imran Khan,https://www.huffpost.com/entry/police-file-terrorism-charges-against-pakistans-ex-premier-imran-khan_n_63034c88e4b052615d730757,WORLD NEWS,3.7,4,4,4,3,3,7,2
"Trans Woman Can't Be Considered Parent Of Her Own Child, Rules Tokyo Court",https://www.huffpost.com/entry/trans-woman-parent-japanese-court_n_630066e2e4b00c150d61b12d,WORLD NEWS,4.0,4,4,5,3,4,7,2
State Dept. 'Studying' 34-Year Sentence Of Saudi Woman Over Twitter Use,https://www.huffpost.com/entry/state-dept-saudi-woman-sentence-twitter_n_62fe1273e4b0a85a819925e6,WORLD NEWS,4.1,4,4,5,3,4,8,2
Syria Denies It Is Holding American Journalist Austin Tice,https://www.huffpost.com/entry/syria-denies-it-is-holding-american-journalist-austin-tice_n_62fcb9dae4b06389482ea692,WORLD NEWS,3.6,4,4,3,3,3,7,2
New Law Makes Period Products Free For All In Scotland,https://www.huffpost.com/entry/bc-eu-britain-scotland-period-products_n_62fbd14de4b077bb77a6591d,WORLD NEWS,5.5,4,4,5,5,6,7,9
Afghanistan Marks One-Year Anniversary Since Taliban Takeover,https://www.huffpost.com/entry/afghanistan-taliban-year-anniversary-poverty-womens-no-rights_n_62fb0efbe4b077bb77a53c99,WORLD NEWS,4.7,5,6,4,5,3,8,2
Iran Denies Involvement But Justifies Salman Rushdie Attack,https://www.huffpost.com/entry/iran-denies-involvement-but-justifies-salman-rushdie-attack_n_62fa275ee4b095e78881df24,WORLD NEWS,4.3,4,4,5,5,4,7,2
Lawyers Appeal Brittney Griner's Russian Prison Sentence,https://www.huffpost.com/entry/lawyers-appeal-brittney-griners-russian-prison-sentence_n_62fa1bb7e4b045e6f6aef6fb,WORLD NEWS,3.1,3,4,3,2,2,7,3
Palestinian Gunman Wounds 8 In Late-Night Jerusalem Shooting,https://www.huffpost.com/entry/israel-palestinian-gunman-jerusalem-shooting_n_62f8e0a5e4b0288b61a569f9,WORLD NEWS,3.7,4,4,4,3,3,7,2
Officials: Fire At Coptic Church In Cairo Kills 41,https://www.huffpost.com/entry/egypt-cairo-coptic-church-fire_n_62f8deade4b045e6f6ae64b6,WORLD NEWS,2.8,4,2,2,2,3,7,2
"Salman Rushdie 'On The Road To Recovery,' Agent Says",https://www.huffpost.com/entry/salman-rushdie-recover_n_62f90817e4b0288b61a57374,WORLD NEWS,4.9,5,6,4,6,3,8,2
Stranded Whale Euthanized After Removal From French River,https://www.huffpost.com/entry/stranded-whale-out-of-seine-river-to-be-moved-to-saltwater_n_62f37113e4b0acf9d0033e8e,WORLD NEWS,1.8,2,2,1,1,1,7,2
"Over 120 Injured, Several Missing In Massive Cuban Oil Facility Fire",https://www.huffpost.com/entry/cuba-oil-facility-fire-lightning-strike_n_62ef2a1ee4b0c550161aba3c,WORLD NEWS,3.8,4,4,3,3,4,7,2
Giant Sinkhole Swallows Chilean Land Owned By Canadian Mining Company,https://www.huffpost.com/entry/tierra-amarilla-sinkhole_n_62ea6cd1e4b09d09a2bfb524,WORLD NEWS,3.4,4,4,3,2,3,7,2
Volcano Near Iceland’s Main Airport Erupts Again,https://www.huffpost.com/entry/iceland-volcano-erupts-airport_n_62eaa5d1e4b0da5ec0f0c8ba,WORLD NEWS,3.7,4,4,3,3,3,6,5
Report: Prince Charles' Charity Got Donation From Bin Ladens,https://www.huffpost.com/entry/prince-charles-charity-donation-from-bin-ladens_n_62e6836ee4b0c60a5669187c,WORLD NEWS,3.5,3,4,3,3,4,7,2
The Race To Replace Boris Johnson As Prime Minister Is Down To These 2 Candidates,https://www.huffpost.com/entry/uk-prime-minister-rishi-sunak-liz-truss_n_62d90ec8e4b03dbb9914fefa,WORLD NEWS,3.6,4,4,3,2,3,7,5
At Least 15 Killed In South Africa Bar Shooting,https://www.huffpost.com/entry/south-africa-bar-shooting-soweto_n_62ca8df7e4b04516846385a5,WORLD NEWS,2.8,4,2,2,2,3,8,1
"Sri Lanka President, Prime Minister To Resign Amid Civil Unrest",https://www.huffpost.com/entry/prime-minister-ranil-wickremesinghe-sri-lanka-quit_n_62c98ef3e4b02e0ac914b425,WORLD NEWS,4.7,5,4,5,4,5,8,3
No One Gored In First Pamplona Running Of The Bulls In 3 Years,https://www.huffpost.com/entry/first-pamplona-running-of-the-bulls-in-3-years_n_62c6efc6e4b06e3d9bb25067,WORLD NEWS,2.0,2,2,1,1,2,8,3
"UK Royals’ Spending Up 17%, Mostly For Palace Overhaul Costs",https://www.huffpost.com/entry/uk-royals-spending-costs_n_62bdbc43e4b0ffe00a0ee84b,WORLD NEWS,3.1,3,4,2,2,3,7,2
"Former Nazi Guard, 101, Jailed In Germany For Aiding Murder",https://www.huffpost.com/entry/josef-s-nazi-concentration-guard-sentenced_n_62baf56fe4b080fb670a5c6e,WORLD NEWS,3.7,2,2,2,6,6,8,5
REI Workers At Berkeley Store Vote To Unionize In Another Win For Labor,https://www.huffpost.com/entry/rei-workers-berkeley-store-union_n_6307a5f4e4b0f72c09ded80d,BUSINESS,3.1,2,2,3,3,4,8,5
Twitter Lawyer Calls Elon Musk 'Committed Enemy' As Judge Sets October Trial,https://www.huffpost.com/entry/twitter-elon-musk-trial-october_n_62d7c115e4b000da23f9c7df,BUSINESS,3.9,3,4,5,4,3,8,3
"Starbucks Leaving Russian Market, Shutting 130 Stores",https://www.huffpost.com/entry/starbucks-leaves-russian-market-shuts-stores_n_628b9804e4b05cfc268f4413,BUSINESS,3.7,4,4,3,3,3,7,5
Crypto Crash Leaves Trading Platform Coinbase Slumped,https://www.huffpost.com/entry/coinbase-crypto-slumping_n_627c5582e4b0b74b0e7ed621,BUSINESS,4.6,4,4,6,4,5,7,3
"US Added 428,000 Jobs In April Despite Surging Inflation",https://www.huffpost.com/entry/us-april-jobs-report-2022_n_627517dfe4b009a811c295ec,BUSINESS,4.0,4,4,5,3,3,7,5
"For The Starbucks Union Campaign, A Bruising Contract Fight Is Just Beginning",https://www.huffpost.com/entry/starbucks-union-campaign-contract-fight_n_6259c871e4b066ecde1350f0,BUSINESS,4.2,4,4,5,4,3,7,5
Elon Musk Offers To Buy 100% Of Twitter,https://www.huffpost.com/entry/elon-musk-offer-buy-twitter_n_6257f589e4b0723f8015dc78,BUSINESS,5.1,4,6,5,4,6,7,4
Alaska Airlines Cancels Dozens Of Flights As Pilots Picket,https://www.huffpost.com/entry/alaska-airlines-cancels-flights-pilot-strike_n_62477517e4b0e44de9c20d16,BUSINESS,3.5,4,4,3,2,3,8,3
Starbucks Workers In Seattle Vote To Form Union,https://www.huffpost.com/entry/starbucks-workers-in-seattle-vote-to-form-union_n_623a6d70e4b019fd81344cd6,BUSINESS,4.6,5,4,5,3,5,7,6
3 More Starbucks Stores Vote To Unionize In Another Victory For Labor Campaign,https://www.huffpost.com/entry/more-starbucks-stores-vote-to-unionize-victory-labor-campaign_n_622925e8e4b0fe0944d0a44d,BUSINESS,4.6,4,4,5,4,5,8,6
"Shell Says It Will Stop Buying Russian Oil, Natural Gas",https://www.huffpost.com/entry/ap-eu-russia-ukraine-war-energy_n_62273f7ee4b0dd8abd58b836,BUSINESS,4.8,5,6,5,4,3,7,5
"U.S. Added 678,000 Jobs In February As Omicron Eases",https://www.huffpost.com/entry/february-2022-jobs-report_n_6222140ae4b012a262898f05,BUSINESS,4.6,4,4,5,3,3,7,7
Another Starbucks Store Votes To Unionize,https://www.huffpost.com/entry/another-starbucks-store-votes-to-unionize_n_620d1275e4b0685128b0646b,BUSINESS,4.7,4,4,6,5,4,8,5
Russian Military Action In Ukraine Causes Oil Prices To Soar,https://www.huffpost.com/entry/world-markets-russia-ukraine_n_62171853e4b0f800ce1bed3a,BUSINESS,5.6,6,6,6,5,5,7,3
"Stocks Climb Back After Steep Slide On Fed, Ukraine Jitters",https://www.huffpost.com/entry/dow-drops-financial-markets_n_61eeed38e4b05788adbdb734,BUSINESS,3.6,4,4,3,2,3,7,5
Holiday Sales Rise Despite Supply Issues And Omicron,https://www.huffpost.com/entry/holiday-sales-rise-despite-supply-issues-omicron_n_61c8d1fee4b0d637ae8de4e5,BUSINESS,3.2,3,4,3,2,2,7,6
Low-Profile Ransomware Attacks Continue As High-Profile Cases Slow,https://www.huffpost.com/entry/ransomware-attacks-russia-putin_n_61be4bd1e4b0d637ae8261c2,BUSINESS,4.3,4,5,6,3,3,7,3
Stores Kick Off Black Friday But Pandemic Woes Linger,https://www.huffpost.com/entry/bc-us-black-friday-shopping_n_61a0b683e4b0ae9a42ad1959,BUSINESS,3.6,4,4,3,2,3,7,5
Flight Attendants At American Airlines Subsidiary Threaten To Strike,https://www.huffpost.com/entry/flight-attendants-american-airlines-piedmont-authorize-strike_n_61707acee4b079111a525f4a,BUSINESS,3.5,4,4,3,2,3,7,3
Climate Poses Many Threats To U.S. Financial System & Natural Gas May Be Major Risk,https://www.huffpost.com/entry/financial-stability-oversight-council-climate-change-report_n_6171dec7e4b0931432088ba3,BUSINESS,7.1,7,8,8,7,6,8,4
Watch Consumer Reports Trick A Tesla Into Driving Without A Driver,https://www.huffpost.com/entry/tesla-elon-musk-autopilot-self-driving-china_n_608377a1e4b02e74d21998b8,BUSINESS,4.8,5,4,6,4,5,7,3
GameStop Soars Again; Wall Street Bends Under The Pressure,https://www.huffpost.com/entry/gamestop-soars-stock-market-wall-street_n_60149d28c5b653f644d3cf87,BUSINESS,4.5,4,4,5,3,6,7,5
Pivotal Union Election Moves Ahead At Amazon Warehouse In Alabama,https://www.huffpost.com/entry/union-election-moves-ahead-at-amazon-warehouse_n_6001ef71c5b6efae62f87d30,BUSINESS,4.2,4,4,5,4,3,7,6
Coal Company Officials Plead Guilty After Hiding Black Lung Dangers,https://www.huffpost.com/entry/coal-company-officials-plead-guilty-after-hiding-black-lung-dangers_n_5fff3704c5b6c77d85ec5d4e,BUSINESS,3.6,4,4,3,3,3,7,2
Child Labor In Palm Oil Industry Tied To Girl Scout Cookies,https://www.huffpost.com/entry/palm-oil-child-labor-tied-to-girl-scout-cookies_n_5feb3a97c5b6e1ce833ca2d8,BUSINESS,5.7,6,6,7,5,5,7,3
"Twitch Bans Gambling Sites After Streamer Scams Folks Out Of $200,000",https://www.huffpost.com/entry/twitch-streamers-threaten-strike-gambling_n_632a72bce4b0cd3ec2628b20,TECH,4.1,4,4,5,3,3,8,5
TikTok Search Results Riddled With Misinformation: Report,https://www.huffpost.com/entry/bc-us-tiktok-misinformation_n_6321c9b0e4b027aa40614814,TECH,5.5,5,6,7,5,5,6,3
Citing Imminent Danger Cloudflare Drops Hate Site Kiwi Farms,https://www.huffpost.com/entry/cloudflare-kiwi-farms_n_6315993ae4b0eac9f4ce0ba1,TECH,4.6,4,4,5,4,5,7,6
Instagram And Facebook Remove Posts Offering Abortion Pills,https://www.huffpost.com/entry/instagram-facebook-remove-posts-offering-abortion-pills_n_62bac62fe4b080fb6709dfbe,TECH,5.9,5,6,6,7,6,8,3
Google Engineer On Leave After He Claims AI Program Has Gone Sentient,https://www.huffpost.com/entry/blake-lemoine-lamda-sentient-artificial-intelligence-google_n_62a5613ee4b06169ca8c0a2e,TECH,7.0,6,6,8,7,9,7,5
Facebook Is Still Allowing Mug Shots Even Though They Can Ruin Lives,https://www.huffpost.com/entry/mug-shots-ruin-lives-facebook_n_627a9457e4b0d7ea4cd31ad7,TECH,3.9,4,4,5,3,3,7,3
Ex-Twitter CEO Dings Elon Musk For Attacks On Twitter's Top Lawyer,https://www.huffpost.com/entry/ex-twitter-ceo-dings-elon-musk-for-attacks-on-twitters-top-lawyer_n_62699d3ae4b029505ded91e2,TECH,3.7,3,4,4,3,4,7,2
Investor Sues Elon Musk Over His Delayed Twitter Filing,https://www.huffpost.com/entry/elon-musk-mark-rasella-twitter-class-action-suit_n_6255fc32e4b0be72bfefd401,TECH,2.3,2,2,2,1,3,7,3
Cyberattacks Accompany Russian Military Assault On Ukraine,https://www.huffpost.com/entry/ukraine-russia-cyberattacks_n_62172428e4b0ef74d72ac34d,TECH,5.3,5,6,6,5,5,7,2
"Under Pressure, Apple Will Allow Self-Repairs To iPhones, Macs",https://www.huffpost.com/entry/apple-self-repair-iphone-mac_n_61959749e4b044a1cc01e614,TECH,5.4,4,4,6,5,5,7,7
"Pentagon Gives Microsoft $10 Billion 'War Cloud' Deal, Snubbing Amazon",https://www.huffpost.com/entry/pentagon-government-contract-microsoft-amazon_n_5db3b92ee4b079eb95a3d047,TECH,5.3,6,4,6,6,4,8,5
Marc Benioff: Facebook Is ‘The New Cigarettes' And Should Probably Be Broken Up,https://www.huffpost.com/entry/mark-benioff-facebook-broken-up_n_5da7ab2ce4b034f1d69cc7d1,TECH,6.0,6,6,7,5,6,7,4
Uber To Start Banning Riders With Low Ratings,https://www.huffpost.com/entry/uber-passenger-rating-too-low-deactivated_n_5cee9d51e4b0793c2348dd3b,TECH,3.9,4,4,3,3,4,7,5
Facebook Bans White Nationalism And White Separatism Content After Mosque Shootings,https://www.huffpost.com/entry/facebook-white-nationalism_n_5c9c83e0e4b072a7f60516b1,TECH,6.5,6,8,7,6,5,7,6
Microsoft Workers Protest Use Of HoloLens Headsets For War,https://www.huffpost.com/entry/microsoft-workers-protest-hololens-headsets-war-reality_n_5c71f6ace4b03cfdaa55e0ee,TECH,5.0,5,5,6,4,5,7,3
Apple To Pay Teen Who Uncovered FaceTime Eavesdropping Bug,https://www.huffpost.com/entry/facetime-bug-reward_n_5c5e91e7e4b0910c63f0ab33,TECH,3.4,4,2,3,2,4,7,6
Apple Cracks Down On Apps That Quietly Record Users' Screen Time,https://www.huffpost.com/entry/apple-apps-record-user-activity_n_5c5c3823e4b00187b558e8dc,TECH,4.4,4,5,5,3,4,7,5
Apple Delays FaceTime Update After Eavesdropping Bug Fiasco,https://www.huffpost.com/entry/apple-facetime-bug-update_n_5c556814e4b09293b20472b9,TECH,3.5,4,4,3,2,3,7,4
FaceTime Users Urged To Disable App Over Eavesdropping Bug,https://www.huffpost.com/entry/facetime-bug-iphone_n_5c4fe054e4b0d9f9be687913,TECH,4.6,5,5,4,3,5,7,4
Fuel Leak Ruins NASA's 2nd Shot At Launching New Moon Rocket,https://www.huffpost.com/entry/fuel-leak-ruins-nasa-launch-moon-artemis_n_63137247e4b0eac9f4cd4aa2,SCIENCE,5.6,4,6,7,6,5,8,5
'Safety Is Always First': NASA Reschedules Artemis Moon Mission To Saturday,https://www.huffpost.com/entry/nasa-artemis-moon-mission_n_630d7530e4b063d5e61e0179,SCIENCE,6.6,5,6,7,6,6,8,7
Chinese Rocket Debris Makes Out-Of-Control Fall Back To Earth,https://www.huffpost.com/entry/china-rocket-debris-falling-back-earth_n_62e5e68fe4b09d14dc434a52,SCIENCE,4.4,4,6,5,3,4,7,1
Ancient Tomb Linked By Legend To King Arthur To Be Excavated For First Time,https://www.huffpost.com/entry/arthurs-stone-excavation_n_62cd0843e4b02e0ac9186325,SCIENCE,3.6,2,2,4,4,5,8,6
‘Galaxy Gazing Is The New Stargazing’: Cosmologists Awed By First Webb Image,https://www.huffpost.com/entry/james-webb-space-telescope-first-image_n_62ccdce8e4b06e3d9bb97540,SCIENCE,8.3,6,8,9,8,8,8,9
"‘Explorer’ Eagle Finds A Home In Coastal Maine, Far From Its Native Asia",https://www.huffpost.com/entry/stellers-sea-eagle-maine_n_61e703c0e4b05645a6ed3406,SCIENCE,2.4,2,2,1,1,3,8,6
No Life On Martian Meteorite Found In Antarctica In 1996,https://www.huffpost.com/entry/martian-meteorite-antarctica-no-life_n_61e087a0e4b04bd27ed6f4ad,SCIENCE,5.4,4,6,5,5,6,8,6
"Rare Sea Eagle, Native To Asia, Turns Up In Massachusetts",https://www.huffpost.com/entry/stellars-sea-eagle-massachusetts_n_61c2011be4b0c7d8b89548ca,SCIENCE,2.4,2,2,1,1,3,8,6
"Space Junk Too Risky For Astronaut, Spacewalk Delayed",https://www.huffpost.com/entry/nasa-spacewalk-delayed_n_61a6a4a3e4b025be1aefff74,SCIENCE,4.5,4,4,5,3,6,8,3
"In Quiet Debut, Alzheimer's Drug Rollout Slowed By Questions, Skepticism",https://www.huffpost.com/entry/alzheimers-drug-skepticism-aduhelm_n_616c3d4de4b00cb3cbd41fcf,SCIENCE,5.0,4,4,6,5,6,7,5
"Virgin Galactic’s Richard Branson Blasts Off, Reaches Edge Of Space",https://www.huffpost.com/entry/richard-branson-virgin-galactic_n_60eaefe8e4b09f0145f3d064,SCIENCE,6.4,5,6,7,6,8,8,6
Surprise China 'Dragon Man' Skull Indicates Species Could Be Our Closest Kin,https://www.huffpost.com/entry/dragon-man-homo-sapiens-surprise-relative-human-china_n_60d7e990e4b0b9db2497283e,SCIENCE,4.8,3,4,6,6,5,8,5
Scientists Stumped By Creepy Sidewalk 'Wormnado',https://www.huffpost.com/entry/worm-cyclone-wormnado-new-jersey-mystery_n_6068f96cc5b66c4ab6b352a4,SCIENCE,2.8,2,2,2,1,5,7,5
NASA Uses Navajo Language To Name Rocks And Other Features Of Mars,https://www.huffpost.com/entry/nasa-mars-navajo-names_n_604be458c5b672fce4eca2d8,SCIENCE,6.7,4,8,6,5,7,8,7
Parachute For Mars Rover Mars Contains A Secret Message,https://www.huffpost.com/entry/mars-rover-parachute-secret-message_n_603598e4c5b6c0f82b491d9f,SCIENCE,4.7,4,5,5,3,5,8,6
Arab Spacecraft Enters Orbit Around Mars In Historic Flight,https://www.huffpost.com/entry/uae-mars-mission-amal-historic-orbit_n_6022b942c5b689330e330f01,SCIENCE,6.5,5,6,7,6,6,7,7
"Johnson & Johnson 1-Dose Shot Prevents COVID-19, But Less Than Some Others",https://www.huffpost.com/entry/johnson-johnson-1-dose-shot-coronavirus_n_60140744c5b622df90f29788,SCIENCE,8.5,8,9,9,8,6,7,8
Moon Holds Much More Water Than Previously Believed,https://www.huffpost.com/entry/water-moon-surface_n_5f972df3c5b63fd49cef2155,SCIENCE,8.0,6,8,9,8,7,7,8
New Hampshire Woman Gets New Face For Second Time In 10 Years,https://www.huffpost.com/entry/carmen-blandin-tarleton-2nd-face-transplant_n_5f2da3d8c5b6e96a22b255ac,SCIENCE,4.3,2,2,4,5,5,7,7
Golden Globes Returning To NBC In January After Year Off-Air,https://www.huffpost.com/entry/golden-globes-return-nbc_n_6329f151e4b0ed991abda7f3,ENTERTAINMENT,2.6,2,2,2,2,3,8,4
James Cameron Says He 'Clashed' With Studio Before 'Avatar' Release,https://www.huffpost.com/entry/james-cameron-fought-studio-avatar_n_63268723e4b046aa02400678,ENTERTAINMENT,3.0,2,2,3,4,3,6,5
Amazon Greenlights 'Blade Runner 2099' Limited Series Produced By Ridley Scott,https://www.huffpost.com/entry/blade-runner-2099-series-announced_n_63247adfe4b027aa40656cc0,ENTERTAINMENT,4.0,2,5,3,5,4,8,5
'The Phantom Of The Opera' To Close On Broadway Next Year,https://www.huffpost.com/entry/the-phantom-of-the-opera-to-close-on-broadway-next-year_n_6324ef40e4b082746bea3ce3,ENTERTAINMENT,2.3,1,2,2,3,2,7,5
Viola Davis Feared A Heart Attack During 'The Woman King' Training,https://www.huffpost.com/entry/viola-davis-woman-king-heart-attack_n_6322f795e4b000d988585229,ENTERTAINMENT,2.6,2,2,2,2,3,7,5
Kim Kardashian's Next Boyfriend Could Be A Biochemist,https://www.huffpost.com/entry/kim-kardashian-biochemist-james-corden_n_63232a26e4b0ed021dfa43b2,ENTERTAINMENT,2.1,2,2,1,1,2,7,5
Podcasters Offer $100K Reward For Information On 2Pac’s Killers,https://www.huffpost.com/entry/podcasters-offer-100k-reward-for-info-on-2pacs-killers_n_63235716e4b046aa023d0e5d,ENTERTAINMENT,2.4,2,2,1,2,3,7,4
"Cardi B Donates $100,000 To Her Old Middle School In The Bronx",https://www.huffpost.com/entry/cardi-b-bronx-school-donation_n_6321cab4e4b046aa023a875c,ENTERTAINMENT,3.2,2,2,2,2,3,7,8
Emmy Awards Viewership Dips To A Record-Low As Its Audience Continues To Drop,https://www.huffpost.com/entry/2022-emmys-ratings-record-low_n_63215868e4b000d988560a39,ENTERTAINMENT,2.0,2,2,1,1,2,7,3
"Jean-Luc Godard, Pioneering French Filmmaker, Dies",https://www.huffpost.com/entry/jean-luc-godard-dies_n_5894d457e4b0c1284f25dc10,ENTERTAINMENT,4.2,2,4,3,7,5,8,4
James Cameron Presents New Scenes From 'Avatar: The Way Of Water' At D23 Expo,https://www.huffpost.com/entry/james-cameron-avatar-sequel-footage_n_631d0697e4b046aa02358cbf,ENTERTAINMENT,3.4,2,2,3,4,5,7,6
Watch Harry Styles Pay Tribute To Queen Elizabeth II At NYC Concert,https://www.huffpost.com/entry/harry-styles-queen-elizabeth-ii-concert-tribute_n_631b4d22e4b027aa405b2ad7,ENTERTAINMENT,2.2,2,2,1,2,2,7,5
"Maury Wills, Base-Stealing Shortstop For Dodgers, Dies At 89",https://www.huffpost.com/entry/dodgers-baseball-obit-wills_n_6329feb3e4b07198f0134500,SPORTS,2.5,2,2,1,3,2,8,5
"Las Vegas Aces Win First WNBA Title, Chelsea Gray Named MVP",https://www.huffpost.com/entry/2022-wnba-finals_n_6327f56fe4b0eac9f4e3144d,SPORTS,3.0,2,2,2,2,2,7,8
Boston Marathon To Make Race More Inclusive For Nonbinary Runners,https://www.huffpost.com/entry/boston-marathon-nonbinary-runners_n_631fade4e4b046aa0237a055,SPORTS,4.1,2,2,5,4,4,8,7
"Anthony Varvaro, MLB Pitcher Turned Transit Cop, Dies In Crash On Way To 9/11 Ceremony",https://www.huffpost.com/entry/anthony-varvaro-dead_n_631f6827e4b027aa405e1899,SPORTS,2.0,2,2,1,1,2,8,2
"Carlos Alcaraz Wins U.S. Open For 1st Slam Title, Top Ranking",https://www.huffpost.com/entry/carlos-alcaraz-us-open-grand-slam-win_n_631e7452e4b027aa405cf51b,SPORTS,3.4,2,2,3,2,3,8,7
Baseball Players Union Joins AFL-CIO In Show Of Solidarity With Other Workers,https://www.huffpost.com/entry/baseball-players-union-joins-afl-cio_n_6318a30ee4b000d9884c1aca,SPORTS,4.0,4,3,5,3,4,7,6
"Kody Clemens Strikes Out MVP Shohei Ohtani, Trails Dad Roger By 4,671 Ks",https://www.huffpost.com/entry/kody-clemens-strikes-out-shohei-otani_n_63177ba5e4b0faa556c18078,SPORTS,2.3,2,2,1,1,3,6,6
Vanessa Bryant Says Kobe Bryant Crash Photos Turned Grief To Horror,https://www.huffpost.com/entry/vanessa-bryant-testimony-kobe-bryant-crash-photos_n_62fff99be4b00c150d617da3,SPORTS,2.3,2,2,1,2,3,8,1
Deshaun Watson Settles With NFL For 11-Game Suspension,https://www.huffpost.com/entry/bc-fbn-browns-watson-settlement_n_62fe63d1e4b0f48a020547b2,SPORTS,2.0,2,2,1,1,2,7,2
Talks On Possible Watson Settlement Progress,https://www.huffpost.com/entry/deshaun-watson-browns-nfl_n_62fd2a47e4b0a85a81981a14,SPORTS,2.0,2,2,1,1,2,8,2
The Denver Broncos’ Historic Purchase Could Increase Number Of Minority-Owned NFL Teams,https://www.huffpost.com/entry/denver-broncos-diversity-nfl_n_62fae8f7e4b0f48a0200e812,SPORTS,5.3,4,4,6,4,5,7,7
Tiger To Meet With Top Players Against LIV Golf,https://www.huffpost.com/entry/tiger-woods-golf-player-meeting_n_62fbeafae4b077bb77a6703c,SPORTS,2.5,2,2,2,2,3,7,3
"Mariah Carey Brings Big, Big Energy To Latto's 2022 BET Awards Performance",https://www.huffpost.com/entry/mariah-carey-latto-2022-bet-awards-performance_n_62b913bae4b0c77098be0ee2,BLACK VOICES,2.6,2,2,2,2,3,7,6
"Diddy Honored With Lifetime Achievement, Star-Studded Tribute At 2022 BET Awards",https://www.huffpost.com/entry/diddy-bet-awards-lifetime-achievement_n_62b8e9b4e4b06169caa8aae6,BLACK VOICES,3.3,2,2,2,3,3,7,7
BET Awards 2022 Red Carpet: See The Best Looks From 'Culture's Biggest Night',https://www.huffpost.com/entry/bet-awards-2022-red-carpet-best-looks_n_62b8cc6ce4b0c77098bde01d,BLACK VOICES,2.3,2,2,1,1,3,7,5
University Of Nebraska Changes Mascot's Hand Signal To Avoid White Supremacy Gesture,https://www.huffpost.com/entry/herbie-husker-ok-white-supremacist-change_n_61f60e59e4b02de5f51a0cf2,BLACK VOICES,2.6,2,2,2,2,3,7,5
Hundreds Of Black Women In Georgia Will Get $850 Per Month In Guaranteed Income,https://www.huffpost.com/entry/georgia-guaranteed-income-pilot-black-women_n_61afbc29e4b028ce3d00418e,BLACK VOICES,5.0,4,4,5,4,4,8,7
Potential Jurors See Racism Behind Ahmaud Arbery's Slaying,https://www.huffpost.com/entry/ahmaud-arbery-georgia-trial-jurors_n_617edcabe4b079111a663f17,BLACK VOICES,4.4,4,4,6,5,3,8,2
6 Signs You’re Grinding Your Teeth At Night (And What To Do About It),https://www.huffpost.com/entry/signs-of-teeth-grinding_l_6307b72ee4b0f7df9bb7e34f,WELLNESS,2.2,2,2,2,1,2,7,5
How To Tell If Your Chest Pain Is A Heart Problem,https://www.huffpost.com/entry/chest-pain-heart-signs-symptoms_l_6283e7aee4b003ed29678afa,WELLNESS,3.0,2,2,2,1,3,7,7
Fertility Treatment Puts Many Families In Debt. Here's How To Manage It.,https://www.huffpost.com/entry/fertility-treatment-debt-ivf-cost_l_62e00b8ae4b000da24053610,WELLNESS,2.9,2,2,3,2,4,8,4
4 'Micro-Transitions' In Your Day That May Be Causing You Anxiety,https://www.huffpost.com/entry/micro-transitons-anxiety_l_62ceed69e4b0e6251b37fe91,WELLNESS,2.8,2,2,3,1,4,7,6
Should I Take My Cat Out In This Heat?,https://www.huffpost.com/entry/can-i-let-cat-out-heat_l_62df0934e4b000da240339c6,WELLNESS,2.1,2,2,1,1,2,7,5
Why You Feel Hungover After An Anxiety Or Panic Attack,https://www.huffpost.com/entry/anxiety-panic-attack-hungover_l_62bde9d7e4b00a9334e5ac5e,WELLNESS,2.4,2,2,3,1,2,7,5
